student_id,name,faculty,major,year_enrolled,current_year,gpa,status,scholarship,age,gender,city
STUD0063,Student_63,Fakultas Ekonomi,Akuntansi,2019,Sophomore,3.26,Graduated,None,20,Female,Palembang
STUD0064,Student_64,Fakultas Kedokteran,Kedokteran,2018,Junior,3.33,Active,Academic,20,Male,Medan
STUD0065,Student_65,Fakultas Ekonomi,Teknik Informatika,2020,Senior,2.04,Active,None,20,Male,Makassar
STUD0066,Student_66,Fakultas Kedokteran,Manajemen,2019,Freshman,2.14,Active,None,23,Male,Semarang
STUD0067,Student_67,Fakultas Teknik,Akuntansi,2019,Senior,2.79,Active,None,24,Male,Yogyakarta
STUD0068,Student_68,Fakultas Kedokteran,Manajemen,2023,Sophomore,2.78,Active,None,19,Female,Surabaya
STUD0069,Student_69,Fakultas Ekonomi,Akuntansi,2022,Junior,3.65,Active,None,21,Female,Banjarmasin
STUD0070,Student_70,Fakultas Teknik,Ilmu Hukum,2019,Junior,2.54,Active,Need-based,21,Female,Semarang
STUD0071,Student_71,Fakultas Ekonomi,Teknik Informatika,2023,Sophomore,3.3,Active,Academic,19,Male,Banjarmasin
STUD0072,Student_72,Fakultas Hukum,Kedokteran,2022,Sophomore,2.77,Active,Need-based,24,Male,Makassar
STUD0073,Student_73,Fakultas Sastra,Kedokteran,2018,Freshman,2.96,Active,Need-based,24,Male,Medan
STUD0074,Student_74,Fakultas Hukum,Kedokteran,2022,Senior,2.55,Active,None,19,Female,Semarang
STUD0075,Student_75,Fakultas Teknik,Sistem Informasi,2018,Senior,3.58,Active,None,19,Female,Bandung
STUD0076,Student_76,Fakultas Sastra,Manajemen,2023,Sophomore,3.54,Active,Need-based,23,Female,Palembang
STUD0077,Student_77,Fakultas Sastra,Teknik Elektro,2019,Freshman,2.55,Active,Academic,18,Female,Medan
STUD0078,Student_78,Fakultas Hukum,Ilmu Hukum,2019,Sophomore,3.42,Inactive,None,20,Female,Bandung
STUD0079,Student_79,Fakultas Teknik,Manajemen,2020,Sophomore,3.24,Active,None,23,Male,Bandung
STUD0080,Student_80,Fakultas Ilmu Komputer,Ilmu Hukum,2021,Junior,2.05,Graduated,None,24,Male,Denpasar
STUD0081,Student_81,Fakultas Kedokteran,Sastra Inggris,2019,Junior,2.95,Active,None,23,Female,Semarang
STUD0082,Student_82,Fakultas Ekonomi,Akuntansi,2021,Senior,2.71,Active,None,24,Male,Yogyakarta
STUD0083,Student_83,Fakultas Kedokteran,Sastra Inggris,2020,Freshman,3.27,Active,None,19,Female,Makassar
STUD0084,Student_84,Fakultas Ekonomi,Teknik Informatika,2023,Sophomore,3.85,Inactive,None,22,Female,Bandung
STUD0085,Student_85,Fakultas Kedokteran,Akuntansi,2022,Freshman,3.45,Active,Academic,24,Male,Jakarta
STUD0086,Student_86,Fakultas Ilmu Komputer,Sastra Inggris,2018,Sophomore,4.0,Active,None,24,Female,Denpasar
STUD0087,Student_87,Fakultas Kedokteran,Sastra Inggris,2020,Sophomore,2.58,Graduated,None,18,Female,Surabaya
STUD0088,Student_88,Fakultas Ilmu Komputer,Manajemen,2022,Freshman,2.34,Active,None,20,Female,Yogyakarta
STUD0089,Student_89,Fakultas Kedokteran,Kedokteran,2019,Junior,2.6,Active,None,18,Male,Jakarta
STUD0090,Student_90,Fakultas Teknik,Sastra Inggris,2018,Junior,2.73,Active,None,24,Male,Makassar
STUD0091,Student_91,Fakultas Kedokteran,Ilmu Hukum,2020,Freshman,3.12,Active,Academic,21,Male,Surabaya
STUD0092,Student_92,Fakultas Kedokteran,Ilmu Hukum,2022,Senior,3.18,Active,None,22,Male,Semarang
STUD0093,Student_93,Fakultas Ekonomi,Manajemen,2019,Sophomore,2.77,Graduated,Academic,23,Female,Banjarmasin
STUD0094,Student_94,Fakultas Hukum,Teknik Informatika,2023,Junior,3.24,Active,None,18,Female,Surabaya
STUD0095,Student_95,Fakultas Ilmu Komputer,Sistem Informasi,2019,Freshman,2.96,Active,Need-based,21,Female,Semarang
STUD0096,Student_96,Fakultas Hukum,Teknik Elektro,2020,Freshman,2.94,Active,None,23,Female,Bandung
STUD0097,Student_97,Fakultas Hukum,Sastra Inggris,2021,Senior,2.67,Active,None,18,Male,Denpasar
STUD0098,Student_98,Fakultas Ekonomi,Sastra Inggris,2022,Sophomore,2.21,Active,None,24,Female,Yogyakarta
STUD0099,Student_99,Fakultas Hukum,Teknik Informatika,2023,Sophomore,3.58,Active,None,20,Male,Bandung
STUD0100,Student_100,Fakultas Ekonomi,Kedokteran,2023,Junior,2.75,Active,None,22,Male,Semarang
STUD0101,Student_101,Fakultas Sastra,Ilmu Hukum,2019,Freshman,3.4,Active,Academic,24,Male,Denpasar
STUD0102,Student_102,Fakultas Hukum,Teknik Elektro,2019,Junior,3.38,Active,Academic,24,Male,Palembang
STUD0103,Student_103,Fakultas Hukum,Teknik Elektro,2023,Sophomore,2.98,Active,None,18,Female,Medan
STUD0104,Student_104,Fakultas Hukum,Teknik Elektro,2023,Junior,3.28,Active,None,20,Female,Banjarmasin
STUD0105,Student_105,Fakultas Kedokteran,Ilmu Hukum,2021,Freshman,2.38,Active,None,18,Male,Surabaya
STUD0106,Student_106,Fakultas Sastra,Teknik Elektro,2021,Freshman,3.92,Active,None,24,Male,Jakarta
STUD0107,Student_107,Fakultas Ekonomi,Kedokteran,2018,Sophomore,2.59,Active,Sports,24,Female,Denpasar
STUD0108,Student_108,Fakultas Kedokteran,Teknik Informatika,2022,Senior,3.1,Active,Academic,18,Male,Yogyakarta
STUD0109,Student_109,Fakultas Kedokteran,Akuntansi,2023,Sophomore,2.91,Inactive,None,22,Male,Surabaya
STUD0110,Student_110,Fakultas Ilmu Komputer,Teknik Informatika,2021,Sophomore,3.56,Active,Sports,22,Male,Banjarmasin
STUD0111,Student_111,Fakultas Teknik,Ilmu Hukum,2023,Freshman,3.31,Active,None,22,Female,Makassar
STUD0112,Student_112,Fakultas Teknik,Sastra Inggris,2022,Junior,2.42,Active,None,23,Male,Bandung
STUD0113,Student_113,Fakultas Ilmu Komputer,Teknik Elektro,2020,Freshman,2.45,Active,None,20,Female,Bandung
STUD0114,Student_114,Fakultas Sastra,Sastra Inggris,2021,Sophomore,3.07,Active,Need-based,24,Female,Yogyakarta
STUD0115,Student_115,Fakultas Kedokteran,Sistem Informasi,2019,Sophomore,3.1,Active,Sports,21,Female,Denpasar
STUD0116,Student_116,Fakultas Ilmu Komputer,Manajemen,2018,Freshman,2.12,Active,None,18,Female,Yogyakarta
STUD0117,Student_117,Fakultas Kedokteran,Teknik Elektro,2019,Senior,3.15,Active,None,21,Male,Denpasar
STUD0118,Student_118,Fakultas Ilmu Komputer,Ilmu Hukum,2020,Sophomore,3.17,Active,None,22,Female,Denpasar
STUD0119,Student_119,Fakultas Sastra,Kedokteran,2020,Freshman,2.97,Active,None,20,Female,Medan
STUD0120,Student_120,Fakultas Kedokteran,Teknik Elektro,2020,Sophomore,2.77,Active,None,22,Male,Surabaya
STUD0121,Student_121,Fakultas Teknik,Akuntansi,2022,Freshman,2.57,Active,None,23,Female,Palembang
STUD0122,Student_122,Fakultas Kedokteran,Sistem Informasi,2021,Junior,2.31,Active,None,19,Male,Surabaya
STUD0123,Student_123,Fakultas Kedokteran,Teknik Informatika,2023,Freshman,3.03,Active,None,22,Female,Bandung
STUD0124,Student_124,Fakultas Sastra,Sastra Inggris,2019,Freshman,2.16,Active,Academic,19,Male,Makassar
STUD0125,Student_125,Fakultas Kedokteran,Akuntansi,2023,Sophomore,3.06,Active,None,18,Male,Semarang
STUD0126,Student_126,Fakultas Kedokteran,Teknik Elektro,2022,Senior,3.36,Active,Academic,24,Female,Banjarmasin
STUD0127,Student_127,Fakultas Hukum,Akuntansi,2021,Junior,3.03,Active,Need-based,20,Male,Denpasar
STUD0128,Student_128,Fakultas Ilmu Komputer,Teknik Elektro,2020,Senior,3.82,Inactive,Academic,20,Female,Semarang
STUD0129,Student_129,Fakultas Sastra,Sastra Inggris,2020,Sophomore,3.5,Active,None,18,Female,Yogyakarta
STUD0130,Student_130,Fakultas Sastra,Kedokteran,2020,Senior,3.34,Inactive,None,22,Male,Yogyakarta
STUD0131,Student_131,Fakultas Kedokteran,Akuntansi,2019,Senior,3.45,Active,Need-based,22,Male,Palembang
STUD0132,Student_132,Fakultas Sastra,Ilmu Hukum,2022,Freshman,2.76,Active,Sports,19,Male,Semarang
STUD0133,Student_133,Fakultas Ilmu Komputer,Teknik Informatika,2021,Senior,3.75,Active,None,20,Female,Palembang
STUD0134,Student_134,Fakultas Hukum,Sistem Informasi,2020,Junior,2.77,Active,Need-based,22,Male,Palembang
STUD0135,Student_135,Fakultas Kedokteran,Sistem Informasi,2022,Junior,3.33,Active,None,24,Male,Denpasar
STUD0136,Student_136,Fakultas Teknik,Teknik Elektro,2018,Junior,3.92,Active,None,18,Male,Semarang
STUD0137,Student_137,Fakultas Kedokteran,Sastra Inggris,2022,Junior,3.42,Active,None,19,Male,Medan
STUD0138,Student_138,Fakultas Sastra,Akuntansi,2019,Sophomore,2.99,Active,Academic,24,Female,Semarang
STUD0139,Student_139,Fakultas Ekonomi,Teknik Elektro,2021,Junior,3.4,Active,Sports,23,Female,Bandung
STUD0140,Student_140,Fakultas Kedokteran,Sastra Inggris,2023,Senior,3.9,Active,Need-based,20,Female,Palembang
STUD0141,Student_141,Fakultas Ekonomi,Kedokteran,2018,Junior,2.61,Active,None,22,Male,Makassar
STUD0142,Student_142,Fakultas Ilmu Komputer,Sastra Inggris,2019,Sophomore,4.0,Active,None,18,Female,Bandung
STUD0143,Student_143,Fakultas Teknik,Teknik Elektro,2018,Junior,3.83,Graduated,Academic,18,Female,Medan
STUD0144,Student_144,Fakultas Ilmu Komputer,Akuntansi,2020,Freshman,2.69,Inactive,Academic,24,Male,Denpasar
STUD0145,Student_145,Fakultas Ekonomi,Teknik Elektro,2021,Senior,3.31,Active,Academic,19,Male,Yogyakarta
STUD0146,Student_146,Fakultas Ilmu Komputer,Sastra Inggris,2023,Junior,2.09,Graduated,None,22,Female,Surabaya
STUD0147,Student_147,Fakultas Sastra,Ilmu Hukum,2023,Freshman,3.24,Active,None,21,Female,Banjarmasin
STUD0148,Student_148,Fakultas Ilmu Komputer,Teknik Elektro,2019,Junior,3.08,Graduated,None,18,Male,Semarang
STUD0149,Student_149,Fakultas Kedokteran,Akuntansi,2022,Sophomore,2.46,Inactive,None,20,Male,Banjarmasin
STUD0150,Student_150,Fakultas Sastra,Kedokteran,2021,Sophomore,3.0,Active,None,22,Male,Bandung
STUD0151,Student_151,Fakultas Sastra,Teknik Informatika,2022,Senior,2.65,Active,None,20,Male,Medan
STUD0152,Student_152,Fakultas Hukum,Manajemen,2018,Junior,2.6,Active,Need-based,24,Female,Yogyakarta
STUD0153,Student_153,Fakultas Hukum,Kedokteran,2019,Junior,3.4,Active,Sports,19,Female,Denpasar
STUD0154,Student_154,Fakultas Teknik,Sistem Informasi,2018,Freshman,3.87,Active,Sports,19,Male,Bandung
STUD0155,Student_155,Fakultas Kedokteran,Sastra Inggris,2022,Freshman,2.77,Active,Need-based,20,Male,Palembang
STUD0156,Student_156,Fakultas Teknik,Teknik Informatika,2023,Sophomore,2.55,Active,Need-based,18,Female,Banjarmasin
STUD0157,Student_157,Fakultas Ekonomi,Kedokteran,2023,Freshman,2.81,Inactive,None,23,Female,Semarang
STUD0158,Student_158,Fakultas Ilmu Komputer,Kedokteran,2019,Junior,3.9,Active,None,21,Male,Bandung
STUD0159,Student_159,Fakultas Kedokteran,Teknik Elektro,2023,Sophomore,2.76,Active,None,21,Female,Makassar
STUD0160,Student_160,Fakultas Kedokteran,Kedokteran,2022,Senior,3.46,Inactive,None,24,Female,Bandung
STUD0161,Student_161,Fakultas Ekonomi,Kedokteran,2019,Freshman,2.65,Graduated,None,18,Male,Palembang
STUD0162,Student_162,Fakultas Ilmu Komputer,Sistem Informasi,2023,Sophomore,3.52,Active,None,19,Male,Palembang
STUD0163,Student_163,Fakultas Sastra,Teknik Informatika,2020,Freshman,2.94,Active,None,19,Male,Medan
STUD0164,Student_164,Fakultas Sastra,Ilmu Hukum,2019,Senior,1.76,Active,None,18,Female,Semarang
STUD0165,Student_165,Fakultas Ilmu Komputer,Akuntansi,2023,Sophomore,3.84,Active,None,19,Female,Banjarmasin
STUD0166,Student_166,Fakultas Teknik,Sastra Inggris,2023,Junior,3.69,Active,None,21,Male,Surabaya
STUD0167,Student_167,Fakultas Sastra,Ilmu Hukum,2022,Freshman,1.94,Graduated,Need-based,19,Male,Semarang
STUD0168,Student_168,Fakultas Sastra,Teknik Elektro,2021,Sophomore,3.6,Active,None,23,Male,Jakarta
STUD0169,Student_169,Fakultas Hukum,Manajemen,2019,Senior,2.87,Active,Need-based,20,Female,Surabaya
STUD0170,Student_170,Fakultas Hukum,Manajemen,2021,Sophomore,3.38,Graduated,None,18,Male,Palembang
STUD0171,Student_171,Fakultas Ekonomi,Teknik Elektro,2023,Freshman,2.67,Graduated,None,21,Male,Semarang
STUD0172,Student_172,Fakultas Sastra,Sistem Informasi,2020,Junior,2.1,Active,None,24,Female,Yogyakarta
STUD0173,Student_173,Fakultas Teknik,Teknik Informatika,2023,Freshman,3.05,Active,None,22,Male,Medan
STUD0174,Student_174,Fakultas Ekonomi,Teknik Informatika,2019,Junior,3.62,Active,None,22,Male,Yogyakarta
STUD0175,Student_175,Fakultas Kedokteran,Teknik Elektro,2022,Sophomore,3.07,Active,None,19,Male,Surabaya
STUD0176,Student_176,Fakultas Hukum,Akuntansi,2019,Freshman,4.0,Inactive,Need-based,24,Female,Palembang
STUD0177,Student_177,Fakultas Ekonomi,Manajemen,2018,Sophomore,2.92,Active,None,21,Male,Denpasar
STUD0178,Student_178,Fakultas Hukum,Teknik Informatika,2022,Junior,2.87,Graduated,None,24,Male,Surabaya
STUD0179,Student_179,Fakultas Ilmu Komputer,Sistem Informasi,2018,Senior,2.47,Active,Sports,18,Male,Semarang
STUD0180,Student_180,Fakultas Hukum,Manajemen,2022,Sophomore,3.89,Active,None,19,Male,Medan
STUD0181,Student_181,Fakultas Hukum,Kedokteran,2021,Freshman,3.56,Active,None,18,Male,Denpasar
STUD0182,Student_182,Fakultas Hukum,Manajemen,2023,Senior,3.57,Active,Sports,21,Male,Denpasar
STUD0183,Student_183,Fakultas Teknik,Teknik Elektro,2021,Junior,3.37,Active,None,22,Male,Jakarta
STUD0184,Student_184,Fakultas Ilmu Komputer,Teknik Elektro,2023,Senior,3.67,Active,Need-based,19,Male,Banjarmasin
STUD0185,Student_185,Fakultas Ilmu Komputer,Kedokteran,2018,Freshman,3.86,Active,None,21,Female,Jakarta
STUD0186,Student_186,Fakultas Teknik,Sistem Informasi,2018,Junior,2.9,Inactive,Academic,21,Male,Semarang
STUD0187,Student_187,Fakultas Ekonomi,Ilmu Hukum,2018,Senior,3.13,Active,Academic,21,Female,Makassar
STUD0188,Student_188,Fakultas Kedokteran,Sastra Inggris,2018,Sophomore,2.62,Inactive,None,22,Female,Palembang
STUD0189,Student_189,Fakultas Sastra,Sistem Informasi,2020,Senior,1.85,Inactive,Need-based,20,Male,Jakarta
STUD0190,Student_190,Fakultas Ilmu Komputer,Teknik Elektro,2021,Senior,2.76,Active,None,20,Female,Surabaya
STUD0191,Student_191,Fakultas Kedokteran,Kedokteran,2022,Sophomore,2.41,Active,None,18,Female,Medan
STUD0192,Student_192,Fakultas Teknik,Kedokteran,2018,Senior,2.46,Active,None,24,Male,Yogyakarta
STUD0193,Student_193,Fakultas Hukum,Teknik Informatika,2021,Junior,2.94,Active,None,19,Male,Yogyakarta
STUD0194,Student_194,Fakultas Ekonomi,Sastra Inggris,2023,Senior,2.02,Inactive,Academic,21,Female,Makassar
STUD0195,Student_195,Fakultas Teknik,Akuntansi,2021,Junior,2.74,Active,Sports,18,Female,Jakarta
STUD0196,Student_196,Fakultas Hukum,Teknik Informatika,2023,Sophomore,2.66,Graduated,None,18,Male,Banjarmasin
STUD0197,Student_197,Fakultas Ekonomi,Ilmu Hukum,2018,Freshman,2.68,Active,None,23,Female,Denpasar
STUD0198,Student_198,Fakultas Sastra,Teknik Elektro,2021,Sophomore,3.27,Inactive,Need-based,22,Male,Semarang
STUD0199,Student_199,Fakultas Hukum,Akuntansi,2021,Freshman,3.34,Active,None,19,Female,Banjarmasin
STUD0200,Student_200,Fakultas Ekonomi,Manajemen,2019,Sophomore,2.64,Inactive,None,19,Male,Bandung
STUD0201,Student_201,Fakultas Hukum,Sastra Inggris,2018,Sophomore,4.0,Active,None,21,Female,Banjarmasin
STUD0202,Student_202,Fakultas Ilmu Komputer,Ilmu Hukum,2021,Junior,3.8,Active,None,24,Female,Medan
STUD0203,Student_203,Fakultas Ekonomi,Teknik Informatika,2019,Senior,3.5,Active,Sports,24,Female,Bandung
STUD0204,Student_204,Fakultas Sastra,Akuntansi,2020,Freshman,2.78,Active,Need-based,21,Male,Medan
STUD0205,Student_205,Fakultas Ilmu Komputer,Kedokteran,2018,Junior,2.85,Inactive,None,22,Female,Yogyakarta
STUD0206,Student_206,Fakultas Ilmu Komputer,Sistem Informasi,2018,Senior,3.38,Active,None,24,Male,Bandung
STUD0207,Student_207,Fakultas Kedokteran,Akuntansi,2023,Junior,3.88,Active,None,21,Male,Banjarmasin
STUD0208,Student_208,Fakultas Hukum,Ilmu Hukum,2021,Freshman,3.16,Active,None,20,Female,Denpasar
STUD0209,Student_209,Fakultas Ekonomi,Sastra Inggris,2021,Junior,2.41,Active,Need-based,21,Female,Palembang
STUD0210,Student_210,Fakultas Kedokteran,Teknik Informatika,2021,Senior,2.97,Active,None,21,Male,Makassar
STUD0211,Student_211,Fakultas Hukum,Sastra Inggris,2020,Freshman,3.07,Active,None,18,Female,Bandung
STUD0212,Student_212,Fakultas Sastra,Kedokteran,2022,Freshman,2.56,Active,None,24,Male,Semarang
STUD0213,Student_213,Fakultas Teknik,Ilmu Hukum,2022,Freshman,3.65,Active,None,24,Female,Makassar
STUD0214,Student_214,Fakultas Ilmu Komputer,Sastra Inggris,2020,Freshman,2.31,Active,None,19,Female,Palembang
STUD0215,Student_215,Fakultas Hukum,Ilmu Hukum,2021,Sophomore,3.28,Active,None,22,Male,Banjarmasin
STUD0216,Student_216,Fakultas Hukum,Sistem Informasi,2020,Freshman,3.19,Graduated,None,18,Female,Bandung
STUD0217,Student_217,Fakultas Kedokteran,Teknik Elektro,2020,Senior,3.44,Active,Academic,19,Female,Semarang
STUD0218,Student_218,Fakultas Kedokteran,Ilmu Hukum,2021,Sophomore,3.45,Active,None,18,Female,Jakarta
STUD0219,Student_219,Fakultas Sastra,Sastra Inggris,2021,Sophomore,1.86,Active,Need-based,20,Male,Semarang
STUD0220,Student_220,Fakultas Sastra,Kedokteran,2018,Junior,2.78,Active,None,19,Female,Jakarta
STUD0221,Student_221,Fakultas Hukum,Sistem Informasi,2018,Senior,3.28,Active,Need-based,18,Female,Medan
STUD0222,Student_222,Fakultas Kedokteran,Teknik Informatika,2021,Junior,3.39,Graduated,Academic,22,Female,Makassar
STUD0223,Student_223,Fakultas Ilmu Komputer,Manajemen,2021,Freshman,3.08,Active,Need-based,20,Male,Jakarta
STUD0224,Student_224,Fakultas Teknik,Ilmu Hukum,2023,Freshman,3.38,Active,None,18,Male,Yogyakarta
STUD0225,Student_225,Fakultas Teknik,Manajemen,2018,Junior,2.83,Active,None,23,Male,Medan
STUD0226,Student_226,Fakultas Teknik,Akuntansi,2023,Senior,2.67,Active,None,20,Male,Yogyakarta
STUD0227,Student_227,Fakultas Sastra,Teknik Elektro,2018,Senior,2.6,Active,None,21,Male,Yogyakarta
STUD0228,Student_228,Fakultas Kedokteran,Sistem Informasi,2020,Senior,2.72,Active,None,22,Female,Semarang
STUD0229,Student_229,Fakultas Kedokteran,Akuntansi,2019,Senior,2.98,Active,None,21,Female,Banjarmasin
STUD0230,Student_230,Fakultas Kedokteran,Akuntansi,2020,Sophomore,3.17,Active,None,19,Male,Yogyakarta
STUD0231,Student_231,Fakultas Sastra,Teknik Elektro,2020,Senior,2.97,Active,None,21,Female,Denpasar
STUD0232,Student_232,Fakultas Kedokteran,Teknik Elektro,2022,Freshman,3.12,Inactive,None,20,Male,Palembang
STUD0233,Student_233,Fakultas Hukum,Teknik Informatika,2020,Junior,2.2,Graduated,None,22,Female,Surabaya
